threads,hashbits,cpu-cycles,cache-misses,page-faults,cpu-migrations,dTLB-load-misses,context-switches,time_elapsed
1,1,35983361850,45790734,403188,0,15750283,52,18.052
1,2,35392920213,45556464,427211,1,15931414,58,17.7592
1,3,35033305665,45364949,428076,0,15989409,55,17.5728
1,4,34778265270,45029102,423890,0,15960629,52,17.4495
1,5,35000399112,44005699,424948,0,16024598,54,17.5587
1,6,34747817794,38644641,421615,1,16012962,48,17.4344
1,7,34616806130,37512064,415871,0,16018748,50,17.371
1,8,34691072787,37541645,403301,1,16097934,51,17.4059
1,9,34614597582,37374000,421452,1,16245870,54,17.36879
1,10,34687704702,37857513,422782,1,16414698,64,17.4072
1,11,34839088574,38285776,427823,0,16815817,71,17.48341
1,12,35406949787,42543430,429714,3,16727202,76,17.77
1,13,35272372860,42257960,427831,1,16302564,48,17.6989
1,14,35712034945,44053324,448825,0,16672721,55,17.9158
1,15,36456883242,46953296,519330,0,19116572,77,18.28804
1,16,38573579264,56512615,608099,1,26387928,61,19.35
1,17,40144410403,68741409,725499,2,36939319,56,20.139
1,18,41735064562,93682786,627134,0,44713123,62,20.935
2,1,57959323466,129612315,432096,6,20985348,63397,21.883
2,2,52917807545,158129333,403773,1,19197376,55928,19.996
2,3,48348247427,136853043,383206,1,17893433,46625,18.2001
2,4,44569301369,148118674,368407,1,17007803,31790,17.1153
2,5,41377935766,116353999,356050,1,16406310,19691,16.179
2,6,40012389307,108832066,352580,1,16135394,10717,15.669
2,7,40260122745,128416864,346946,0,16046532,5261,15.61773
2,8,39753704321,116394103,347372,0,16132569,2727,15.46042
2,9,39356627496,99089536,346451,1,16165041,1409,15.3175
2,10,39220339678,84333288,344644,0,16427804,770,15.3218
2,11,39410086169,80507049,350183,1,16902024,494,15.30924
2,12,39804263792,79494522,373386,0,16943894,368,15.5643
2,13,39928968814,79891760,386544,0,16403715,151,15.53494
2,14,40547177674,82020100,421359,0,16936305,232,15.70288
2,15,41270771417,83764224,481873,1,19302514,624,15.907
2,16,43095363100,92468148,562170,0,26765170,1311,16.3788
2,17,45042958277,103690918,640759,1,37711344,243,16.843
2,18,46841699914,116678350,672993,1,46040656,4413,17.428
4,1,74086143390,146389720,429019,14,24366452,353390,20.774
4,2,68131926701,152530924,395126,13,22600881,237991,18.631
4,3,59137371193,161840359,368909,12,20329673,130700,16.766
4,4,52203208940,161582733,334318,7,18526694,74783,15.3028
4,5,47589071133,149311078,331045,5,17422293,42673,14.4771
4,6,43357612420,119348971,341373,5,16723168,24032,13.8748
4,7,42421835172,142463346,329068,3,16370909,13439,13.5736
4,8,40745270544,124676326,329158,2,16296864,7310,13.3455
4,9,39085491059,89758850,329816,2,16275565,4011,13.1465
4,10,38883760458,76602296,331533,4,16540537,2173,13.1053
4,11,39616408605,78007529,335190,3,17193223,1333,13.1492
4,12,39538665689,74507836,338551,3,16655286,892,13.2235
4,13,39834838905,74462727,352798,1,16390226,340,13.22125
4,14,40119329388,74076279,377801,3,16982932,230,13.2982
4,15,40862285260,77117916,434118,3,19281587,222,13.5057
4,16,42336441121,85143188,493453,5,26617772,335,13.7012
4,17,44457527590,100085870,538365,7,37895995,2417,13.9101
4,18,46121407616,110773927,540490,8,45612975,1987,14.265
8,1,130101263967,269297193,425635,46,32040571,1715485,21.5859
8,2,109095369041,246041383,380937,28,29180948,1020915,18.3714
8,3,83869735444,214855465,361154,19,24712509,460012,15.9932
8,4,66899552458,202115616,334072,16,21282558,204419,14.3787
8,5,57604722575,193049304,331043,9,19292453,98511,13.5625
8,6,51287875486,171377632,329600,6,17906075,50453,12.8748
8,7,46760179734,165837997,328983,8,17115038,26964,12.5077
8,8,43618731106,147057375,328919,5,16780682,14825,12.24619
8,9,41551062596,119554358,329514,7,16674062,8207,12.08373
8,10,40584181296,91905605,330879,3,16984632,4682,12.02234
8,11,40322637939,81425736,333433,2,17697034,2942,12.0202
8,12,34215712693,65315193,280802,4,13838597,1719,10.64
