threads,hash_bits,average_time
1,1,6.479339
1,2,6.611513
1,3,6.643342
1,4,6.634678
1,5,6.780845
1,6,6.68724
1,7,6.625501
1,8,6.662365
1,9,6.636131
1,10,6.66325
1,11,6.725411
1,12,6.95746
1,13,6.95478
1,14,7.138107
1,15,7.466408
1,16,8.438213
1,17,9.217255
1,18,9.957558
2,1,17.833026
2,2,15.71727
2,3,13.546589
2,4,11.692044
2,5,10.087407
2,6,9.388362
2,7,9.488345
2,8,9.220665
2,9,9.024407
2,10,8.883401
2,11,9.010309
2,12,9.108939
2,13,9.248984
2,14,9.491385
2,15,9.779104
2,16,10.624876
2,17,11.6394
2,18,12.490946
4,1,27.351486
4,2,24.302927
4,3,19.395828
4,4,15.903978
4,5,13.434799
4,6,11.191808
4,7,10.672561
4,8,9.755407
4,9,8.92572
4,10,8.801155
4,11,9.13348
4,12,9.081797
4,13,9.21869
4,14,9.339574
4,15,9.584332
4,16,10.271549
4,17,11.370411
4,18,12.122689
8,1,61.820329
8,2,48.392449
8,3,33.719935
8,4,24.130814
8,5,19.149378
8,6,15.523684
8,7,13.037897
8,8,11.327587
8,9,10.23923
8,10,9.723907
8,11,9.584095
8,12,9.606095
